postal_code,city,state,Fri_p0.95,Mon_p0.95,Sat_p0.95,Sun_p0.95,Thu_p0.95,Tue_p0.95,Wed_p0.95,Total P95
32808,Orlando,FL,11.3,11.0,12.0,12.0,11.3,11.3,11.3,12.0
32927,Cocoa,FL,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
33897,Davenport,FL,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
34743,Buena Ventura Lakes,FL,10.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0
78717,Austin,TX,9.3,9.3,9.3,9.15,9.3,9.3,9.3,9.3
V5G 1C7,Burnaby,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V6J 3J3,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V7M 3E3,North Vancouver,BC,,,,,,,,
32868,Orlando,FL,17.0,,17.0,,,,,17.0
V5X 3V8,Vancouver,BC,10.0,0.0,9.0,,10.0,10.0,10.0,10.0
V5Z 3Z3,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6C 2R7,Vancouver,BC,17.3,11.3,17.3,16.0,17.3,17.3,17.3,17.3
V5C 6T7,Burnaby,BC,9.3,9.3,,,9.3,9.0,9.3,9.3
V7L 1A1,North Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
32807,"Orlando, Florida",FL,9.3,9.3,9.3,11.0,9.3,9.3,9.3,11.0
V5T 4R8,Vancouver,BC,10.0,0.0,10.0,,10.0,,10.0,10.0
V5X 3X6,Vancouver,BC,17.0,10.0,17.0,17.0,17.0,17.0,17.0,17.0
31907,Columbus,GA,8.0,8.0,,,8.0,8.0,8.0,8.0
V3J 3P7,Coquitlam,BC,12.0,,12.0,12.0,12.0,12.0,12.0,12.0
V5Y 1H7,Vancouver,BC,9.0,9.0,,,9.0,9.0,9.0,9.0
V6Y 1K4,Richmond,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3C 4L3,Port Coquitlam,BC,,0.0,,,,,,0.0
30328,Sandy springs,GA,10.0,0.0,10.0,,10.0,10.0,10.0,10.0
55912,Austin,MN,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
V7W 2B6,West Vancouver,BC,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
02452,Medfield,MA,9.0,9.0,8.0,,9.0,9.0,9.0,9.0
V3B 4P4,Port Coquitlam,BC,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
V5M 3Z9,Burnaby,BC,,,,,,,,
V5Z 2K9,Vancouver,BC,9.0,0.0,9.3,9.3,9.3,9.3,9.3,9.3
V5L 2Y7,Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V6K 2G1,vancouver,BC,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
,North Vancouver,BC,,,,,,,,
V3E 2V5,Coquitlam,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3M 2A5,New Westminster,BC,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0
01907,Swampscott,MA,15.0,15.0,15.0,12.0,15.0,15.0,15.0,15.0
02453,Waltham,MA,16.0,12.0,15.0,16.0,16.0,16.0,16.3,16.0
30338,Atlanta,GA,14.3,12.0,12.0,13.0,12.0,12.0,14.3,12.0
32922,Cocoa,FL,17.0,13.0,17.0,13.0,17.0,16.0,17.0,16.0
34745,Kissimmee,FL,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
43062,Pataskala,OH,12.0,15.0,12.0,13.0,12.0,11.3,12.0,12.0
78756,Austin,TX,14.0,11.0,13.0,13.0,14.0,13.0,15.0,13.0
V5H 1Z8,Burnaby,BC,12.0,11.3,12.0,12.0,12.0,12.0,12.0,12.0
V5X 3J4,Vancouver,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V5V 4E8,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6A 4C7,Vancouver,BC,7.3,7.3,10.0,10.0,7.3,7.3,7.3,10.0
V5Z 4P1,Vancouver,BC,9.3,8.0,10.0,11.0,9.3,9.3,9.3,11.0
V3R 1M8,Surrey,BC,11.0,11.0,11.0,,11.0,11.0,11.0,11.0
V3W 9E9,Surrey,BC,10.3,10.3,10.0,10.0,10.3,10.3,10.3,10.3
V5Y 1A6,Vancouver,BC,8.3,8.3,9.0,9.0,8.3,8.3,8.3,9.0
78746,Westlake,TX,16.3,10.0,10.0,7.0,10.0,10.0,4.3,16.3
78716,Austin,TX,9.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0
V5J 3L5,Burnaby,BC,6.0,6.0,9.0,,6.0,6.0,6.0,9.0
V5N 1T8,Vancouver,BC,11.0,,11.0,11.0,11.0,11.0,11.0,11.0
30132,Dallas,GA,9.0,0.0,,,9.0,9.0,9.0,9.0
,Bowen Island,BC,,,,,,,,
V3N 1W8,Burnaby,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6A 1H8,Vancouver,BC,5.0,5.0,5.3,6.3,5.0,5.0,5.0,6.3
01906,Peabody,MA,8.3,8.3,8.3,,8.3,8.3,8.3,8.3
V6A 3R9,Vancouver,BC,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
V7M 2H6,North Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V3T 0L8,Surrey,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6Y 1Y2,Richmond,BC,9.3,9.3,9.3,11.0,9.3,9.3,9.3,11.0
30034,Decatur,GA,12.0,11.3,12.0,13.0,11.0,11.0,11.3,12.0
30312,Atlanta,GA,17.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0
30341,Chamblee,GA,15.0,12.0,13.0,14.0,15.0,15.0,15.0,14.0
32776,Sorrento,FL,11.0,11.3,11.3,11.3,11.3,11.3,12.0,11.3
78028,Kerrville,TX,9.0,,,,9.0,9.0,9.0,9.0
V5C 3Z6,Burnaby,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6P 4Z5,Vancouver,BC,18.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0
V3K 3P4,Coquitlam,BC,16.3,11.0,16.3,16.3,16.3,16.3,16.3,16.3
V5M 0C4,Vancouver,BC,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0
V5Y 1W2,Vancouver,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6B 1L6,Vancouver,BC,15.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0
V6J 4Y3,Vancouver,BC,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
01770,Sherborn,MA,10.0,9.0,12.0,9.0,10.0,12.0,14.0,14.0
75495,Van Alstyne,TX,6.3,6.3,8.0,,6.3,6.3,6.3,8.0
V5Z 2W3,Vancouver,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
V6E 1C5,Vancouver,BC,16.0,7.3,16.0,12.0,16.0,16.0,16.0,16.0
V6R 1N6,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V5N 2T2,Vancouver,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6B 1C6,Vancouver,BC,8.3,8.3,,,8.3,8.3,8.3,8.3
01888,Woburn,MA,8.0,8.0,,,8.0,8.0,8.0,8.0
32859,orlando,FL,9.0,9.0,,,9.0,9.0,9.0,9.0
V6A 2V3,Vancouver,BC,,,,,,,,
V7E 2Z3,Richmond,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6E 4L2,Vancouver,BC,8.0,0.0,,,8.0,8.0,8.0,8.0
V7M 2E5,North Vancouver,BC,17.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0
V5J 2W8,Burnaby,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43201,Galena,OH,8.0,0.0,8.0,8.0,8.0,7.0,7.0,8.0
V5J 4R2,Burnaby,BC,8.0,0.0,8.3,,8.0,8.0,8.0,8.3
V3M 1E1,New Westminster,BC,19.0,,19.0,13.45,,,,19.0
